SPC,Common_Name,flen_min,flen_max,tlen_min,tlen_max,rwt_min,rwt_max,k_min_error,k_min_warn,k_max_warn,k_max_error,k_tl_mean,intercept_fltl,slope_fltl,int_fltl_old,slope_fltl_old
473,Pterygoplichthys sp.,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
480,Cichlids,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
481,Oscar,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
482,Jaguar Guapote,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
483,Tench,50,465,50,484,2,1392,0.82,0.97,2,2.15,,1.92992,1.02764,,
500,Esocidae - Hybrids,48,1330,52,1410,1,23587,0.26,0.38,1.34,1.48,,1.60517,1.06159,,
501,Northern Pike x Grass Pickerel,48,1100,52,1170,1,14500,0.32,0.4,1,1.08,,6.82595,1.05147,,
502,Northern Pike x Muskellunge,48,1330,52,1410,1,23587,0.26,0.38,1.34,1.48,,1.60517,1.06159,,
550,Catostomidae - Hybrids ,19,711,20,790,1,6000,0.52,0.66,2.94,3.18,,-3.33743,1.08634,,
551,Ictiobus hybrids,50,591,55,670,2,4850,0.92,1.07,2.94,3.18,,1.24409,1.13093,,
600,Cyprinidae - Hybrids,3,864,5,959,0.1,16250,0.05,0.1,2.79,3.04,,-0.05716,1.09707,,
601,Goldfish x Carp,24,864,28,959,1,16250,0.77,0.96,2.79,3.04,,1.85526,1.09478,,
602,Chrosomus hybrids,31,74,33,79,1,6,0.07,0.25,1.83,2.09,,0.96264,1.04838,,
603,Northern Redbelly Dace x Finescale Dace,31,74,33,79,1,6,0.07,0.25,1.83,2.09,,0.96264,1.04838,,
604,Northern Redbelly Dace x Pearl Dace,10,160,11,173,0.1,21,0.07,0.25,1.83,2.09,,0.31726,1.08108,,
605,Finescale Dace x Pearl Dace,10,160,11,173,0.1,21,0.25,0.42,1.74,1.94,,0.48245,1.07988,,
610,Notropis hybrids,3,147,5,161,0.1,33,0.05,0.1,2.33,2.71,,-0.0012,1.10122,,
611,Common Shiner x Rosyface Shiner,12,157,13,172,0.1,45,0.07,0.21,1.93,2.19,,0.59391,1.08765,,
612,Common Shiner x Creek Chub,12,157,13,172,0.1,45,0.05,0.1,2.34,2.71,,0.57234,1.08535,,
613,Common Shiner x Longnose Dace,12,157,13,172,0.1,45,0.08,0.28,2.24,2.56,,0.49349,1.08562,,
614,Common Shiner x River Chub,12,210,13,222,1,109,0.05,0.1,2.34,2.71,,0.57234,1.08535,,
615,Common Shiner x Brassy Minnow,12,157,13,172,0.1,45,0.05,0.29,2.14,2.44,,0.60627,1.08753,,
616,Striped Shiner x Rosyface Shiner,12,157,13,172,0.1,45,0.07,0.21,1.93,2.19,,0.59391,1.08765,,
617,Striped Shiner x Mimic Shiner,3,157,5,172,0.1,45,0.05,0.12,2.11,2.43,,0.84401,1.08433,,
620,Fathead Minnow x Bluntnose Minnow,13,97,14,105,0.1,9,0.05,0.29,2.14,2.44,,1.4822,1.05606,,
621,Blacknose Dace x Creek Chub,17,143,19,152,0.1,29,0.05,0.1,2.34,2.71,,1.05069,1.05418,,
622,Longnose Dace x River Chub,11,143,12,152,0.1,29,0.05,0.1,2.34,2.71,,1.35173,1.04901,,
623,Longnose Dace x Lake Chub,10,233,11,253,0.1,113,0.08,0.32,2.24,2.56,,-0.03004,1.08321,,
624,Creek Chub x Redside Dace,17,143,19,152,0.1,29,0.05,0.1,2.34,2.71,,1.28062,1.05133,,
630,Western Blacknose Dace,28,71,30,75,0.3,4,0.08,0.32,2.24,2.56,,0.28158,1.05926,,
631,Silver Carp,24,864,28,959,1,16250,0.77,0.96,2.79,3.04,,1.85526,1.09478,,
632,Bighead Carp,24,864,28,959,1,16250,0.77,0.96,2.79,3.04,,1.85526,1.09478,,
633,Black Carp,24,864,28,959,1,16250,0.77,0.96,2.79,3.04,,1.85526,1.09478,,
650,Ictaluridae - Hybrids,12,830,12,900,0.1,11000,0.3,0.47,2.07,2.29,,0,1,,
651,Black Bullhead x Brown Bullhead,12,456,12,456,0.1,1103,0.58,0.77,2,2.18,,0,1,,
690,Moronidae - Hybrids,14,447,15,480,0.38,1400,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
691,Morone hybrids,14,447,15,480,0.38,1400,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
692,White Bass x Striped Bass,100,1200,106,1300,18,32296,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
700,Centrarchidae - Hybrids,9,598,10,618,0.1,4150,0.27,0.58,3.89,4.34,,-1.73085,1.0562,,
701,Lepomis hybrids,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
702,Pumpkinseed x Bluegill,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
703,Green Sunfish x Pumpkinseed,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
704,Green Sunfish x Longear Sunfish,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
705,Green Sunfish x Bluegill,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
706,White Crappie x Black Crappie,12,423,12,454,1,1376,0.71,0.84,2.32,2.53,,0.86298,1.04053,,
707,Pumpkinseed x Orangespotted Sunfish,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
750,Percidae - Hybrids,5,830,5,883,1,8100,0.05,0.1,2.09,2.43,,-1.40169,1.06133,,
751,Saugeye (Sauger x Walleye),52,830,55,883,1,8100,0.36,0.51,1.91,2.09,,3.64915,1.05276,,
752,Logperch x Channel Darter,31,127,32,130,0.3,12,0.08,0.26,1.47,1.66,,0.349,1.01812,,
753,Logperch x Blackside Darter,31,127,32,130,0.3,12,0.08,0.26,1.47,1.66,,0.349,1.01812,,
800,Cottidae - Hybrids,18,175,18,175,0.5,69,0.05,0.22,2.23,2.54,,0,1,,
801,Mottled Sculpin x Slimy Sculpin,18,126,18,126,0.5,32,0.05,0.22,2.23,2.54,,0,1,,
999,Any Species,10,100,10,100,1,10,0.01,0.1,2.5,3.5,,,,,
